time(s),x(m),y(m)
0,0.0754,0.6337
0.0168,0.1082,0.6007
0.0337,0.1049,0.5941
0.0505,0.141,0.5644
0.0674,0.1705,0.5281
0.0842,0.2033,0.5017
0.1011,0.2426,0.4752
0.1179,0.2787,0.4521
0.1348,0.3115,0.4323
0.1516,0.3443,0.4092
0.1685,0.377,0.3993
0.1853,0.4164,0.3861
0.2022,0.4459,0.3729
0.219,0.482,0.3729
0.2359,0.5115,0.3729
0.2527,0.5508,0.3663
0.2696,0.5836,0.3663
0.2864,0.6197,0.3762
0.3033,0.6557,0.3762
0.3201,0.6885,0.3894
0.337,0.7213,0.4026
0.3538,0.7508,0.4158
0.3707,0.7869,0.4389
0.3875,0.823,0.4587
0.4044,0.859,0.4818
0.4212,0.8984,0.5149
0.4381,0.9279,0.5479
0.4549,0.9672,0.5842
0.4718,1,0.6172
0.4886,1.0295,0.6568
0.5055,1.0721,0.6964
0.5223,1.0984,0.7393
0.5392,1.1213,0.7789
